"","GroundDiv","IndCom","Index","Time","rho","p","up","low"
"1","Hill_0","BIO_winter","BIO","winter",0.476190476190476,0.258,0.89873417721519,-0.432098765432099
"2","Hill_0","ACI_winter","ACI","winter",0.452380952380952,0.2734,0.974683544303797,-0.432098765432099
"3","Hill_0","NDSI_winter","NDSI","winter",-0.357142857142857,0.3796,0.589041095890411,-0.89873417721519
"4","Hill_0","ADI_winter","ADI","winter",-0.523809523809524,0.1812,0.291139240506329,-1
"5","Hill_0","AEI_winter","AEI","winter",0.523809523809524,0.1758,1,-0.287671232876712
"6","Hill_0","H_winter","H","winter",-0.571428571428572,0.1366,0.215189873417721,-1
"7","Hill_0","M_winter","M","winter",0.80952380952381,0.0352,1,0.102564102564103
"8","Hill_0","PCAI_winter","PCAI","winter",0.523809523809524,0.1814,1,-0.291139240506329
"9","Hill_0","BIO_spring","BIO","spring",0.19047619047619,0.6982,1,-0.851851851851852
"10","Hill_0","ACI_spring","ACI","spring",-0.30952380952381,0.4962,0.842105263157895,-0.851851851851852
"11","Hill_0","NDSI_spring","NDSI","spring",-0.476190476190476,0.2614,0.4,-1
"12","Hill_0","ADI_spring","ADI","spring",-0.571428571428572,0.1636,0.307692307692308,-1
"13","Hill_0","AEI_spring","AEI","spring",0.476190476190476,0.3238,1,-0.620253164556962
"14","Hill_0","H_spring","H","spring",-0.476190476190476,0.3024,0.6,-1
"15","Hill_0","M_spring","M","spring",0.619047619047619,0.0996,1,-0.189873417721519
"16","Hill_0","PCAI_spring","PCAI","spring",0.476190476190476,0.2518,1,-0.452054794520548
"17","Hill_0","BIO_summer","BIO","summer",-0.19047619047619,0.684,0.714285714285714,-0.918918918918919
"18","Hill_0","ACI_summer","ACI","summer",-0.476190476190476,0.2474,0.382716049382716,-1
"19","Hill_0","NDSI_summer","NDSI","summer",-0.547619047619048,0.2104,0.407407407407407,-1
"20","Hill_0","ADI_summer","ADI","summer",0.0952380952380952,0.837,0.846153846153846,-1
"21","Hill_0","AEI_summer","AEI","summer",-0.142857142857143,0.7632,0.848101265822785,-0.918918918918919
"22","Hill_0","H_summer","H","summer",0.214285714285714,0.6248,0.924050632911392,-0.79746835443038
"23","Hill_0","M_summer","M","summer",0.214285714285714,0.6004,0.842105263157895,-0.641025641025641
"24","Hill_0","PCAI_summer","PCAI","summer",0.238095238095238,0.576,1,-0.679012345679012
"25","Hill_0","BIO_morning","BIO","morning",0.119047619047619,0.7834,0.848101265822785,-0.772151898734177
"26","Hill_0","ACI_morning","ACI","morning",-0.547619047619048,0.1794,0.365853658536585,-1
"27","Hill_0","NDSI_morning","NDSI","morning",-0.642857142857143,0.1166,0.2,-1
"28","Hill_0","ADI_morning","ADI","morning",-0.285714285714286,0.537,0.702702702702703,-0.925925925925926
"29","Hill_0","AEI_morning","AEI","morning",0.214285714285714,0.6706,0.96875,-0.828571428571429
"30","Hill_0","H_morning","H","morning",-0.261904761904762,0.6008,0.746835443037975,-1
"31","Hill_0","M_morning","M","morning",0.690476190476191,0.0746,0.975308641975309,-0.139240506329114
"32","Hill_0","PCAI_morning","PCAI","morning",0.333333333333333,0.436,1,-0.594936708860759
"33","Hill_0","BIO_evening","BIO","evening",0.357142857142857,0.3774,0.95,-0.5
"34","Hill_0","ACI_evening","ACI","evening",0.0714285714285714,0.8832,0.924050632911392,-0.756756756756757
"35","Hill_0","NDSI_evening","NDSI","evening",-0.261904761904762,0.4914,0.615384615384616,-0.848101265822785
"36","Hill_0","ADI_evening","ADI","evening",-0.285714285714286,0.4838,0.615384615384616,-0.924050632911392
"37","Hill_0","AEI_evening","AEI","evening",0.380952380952381,0.3862,0.974683544303797,-0.6
"38","Hill_0","H_evening","H","evening",-0.571428571428572,0.1384,0.210526315789474,-1
"39","Hill_0","M_evening","M","evening",0.785714285714286,0.035,1,0.102564102564103
"40","Hill_0","PCAI_evening","PCAI","evening",0.476190476190476,0.2604,1,-0.392405063291139
"41","Hill_0","BIO_all","BIO","all",0.595238095238095,0.1502,1,-0.230769230769231
"42","Hill_0","ACI_all","ACI","all",-0.357142857142857,0.4304,0.756756756756757,-0.972602739726027
"43","Hill_0","NDSI_all","NDSI","all",-0.476190476190476,0.2442,0.407407407407407,-1
"44","Hill_0","ADI_all","ADI","all",-0.476190476190476,0.2584,0.424657534246575,-1
"45","Hill_0","AEI_all","AEI","all",0.476190476190476,0.254,1,-0.405405405405405
"46","Hill_0","H_all","H","all",-0.476190476190476,0.2666,0.392405063291139,-1
"47","Hill_0","M_all","M","all",0.761904761904762,0.0448,1,0.0617283950617284
"48","Hill_0","PCAI_all","PCAI","all",0.476190476190476,0.2708,1,-0.493670886075949
"49","Hill_1","BIO_winter","BIO","winter",0.761904761904762,0.0592,1,-0.111111111111111
"50","Hill_1","ACI_winter","ACI","winter",0.0476190476190476,0.8676,0.842105263157895,-0.696202531645569
"51","Hill_1","NDSI_winter","NDSI","winter",-0.333333333333333,0.483,0.721518987341772,-0.924050632911392
"52","Hill_1","ADI_winter","ADI","winter",-0.619047619047619,0.1456,0.291139240506329,-0.974683544303797
"53","Hill_1","AEI_winter","AEI","winter",0.619047619047619,0.144,0.975308641975309,-0.291139240506329
"54","Hill_1","H_winter","H","winter",-0.5,0.2402,0.417721518987342,-0.917808219178082
"55","Hill_1","M_winter","M","winter",0.595238095238095,0.1592,0.917808219178082,-0.291139240506329
"56","Hill_1","PCAI_winter","PCAI","winter",0.619047619047619,0.1476,1,-0.291139240506329
"57","Hill_1","BIO_spring","BIO","spring",0.238095238095238,0.5704,1,-0.670886075949367
"58","Hill_1","ACI_spring","ACI","spring",-0.380952380952381,0.406,0.615384615384616,-0.925925925925926
"59","Hill_1","NDSI_spring","NDSI","spring",-0.404761904761905,0.3494,0.620253164556962,-0.89873417721519
"60","Hill_1","ADI_spring","ADI","spring",-0.5,0.2406,0.365853658536585,-0.89873417721519
"61","Hill_1","AEI_spring","AEI","spring",0.142857142857143,0.7688,0.842105263157895,-0.72972972972973
"62","Hill_1","H_spring","H","spring",-0.142857142857143,0.7502,0.746835443037975,-0.842105263157895
"63","Hill_1","M_spring","M","spring",0.714285714285714,0.0548,0.973684210526316,-0.0410958904109589
"64","Hill_1","PCAI_spring","PCAI","spring",0.428571428571429,0.3172,0.89873417721519,-0.615384615384616
"65","Hill_1","BIO_summer","BIO","summer",0.428571428571429,0.3304,0.973684210526316,-0.506172839506173
"66","Hill_1","ACI_summer","ACI","summer",-0.261904761904762,0.5538,0.670886075949367,-0.972602739726027
"67","Hill_1","NDSI_summer","NDSI","summer",-0.238095238095238,0.5518,0.777777777777778,-0.917808219178082
"68","Hill_1","ADI_summer","ADI","summer",0,0.9988,0.96875,-0.925925925925926
"69","Hill_1","AEI_summer","AEI","summer",0.0238095238095238,0.9878,1,-0.846153846153846
"70","Hill_1","H_summer","H","summer",0.0238095238095238,0.9476,0.875,-0.923076923076923
"71","Hill_1","M_summer","M","summer",0.452380952380952,0.241,0.923076923076923,-0.291139240506329
"72","Hill_1","PCAI_summer","PCAI","summer",0.285714285714286,0.5416,0.8,-0.923076923076923
"73","Hill_1","BIO_morning","BIO","morning",0.619047619047619,0.1178,1,-0.189873417721519
"74","Hill_1","ACI_morning","ACI","morning",-0.5,0.2116,0.447368421052632,-0.917808219178082
"75","Hill_1","NDSI_morning","NDSI","morning",-0.380952380952381,0.3356,0.6,-0.875
"76","Hill_1","ADI_morning","ADI","morning",-0.404761904761905,0.3486,0.62962962962963,-0.923076923076923
"77","Hill_1","AEI_morning","AEI","morning",0.238095238095238,0.604,0.923076923076923,-0.835616438356164
"78","Hill_1","H_morning","H","morning",-0.214285714285714,0.6362,0.756756756756757,-0.89873417721519
"79","Hill_1","M_morning","M","morning",0.738095238095238,0.0544,0.972972972972973,-0.111111111111111
"80","Hill_1","PCAI_morning","PCAI","morning",0.380952380952381,0.3852,0.89873417721519,-0.780821917808219
"81","Hill_1","BIO_evening","BIO","evening",0.619047619047619,0.1202,1,-0.216216216216216
"82","Hill_1","ACI_evening","ACI","evening",-0.238095238095238,0.583,0.594936708860759,-0.96875
"83","Hill_1","NDSI_evening","NDSI","evening",-0.261904761904762,0.583,0.8,-0.917808219178082
"84","Hill_1","ADI_evening","ADI","evening",-0.357142857142857,0.4644,0.802469135802469,-0.925925925925926
"85","Hill_1","AEI_evening","AEI","evening",0.333333333333333,0.4774,0.846153846153846,-0.753086419753086
"86","Hill_1","H_evening","H","evening",-0.5,0.2218,0.384615384615385,-0.95
"87","Hill_1","M_evening","M","evening",0.595238095238095,0.1452,1,-0.24390243902439
"88","Hill_1","PCAI_evening","PCAI","evening",0.428571428571429,0.3208,0.89873417721519,-0.62962962962963
"89","Hill_1","BIO_all","BIO","all",0.738095238095238,0.03,1,0.102564102564103
"90","Hill_1","ACI_all","ACI","all",-0.357142857142857,0.4436,0.65,-0.851851851851852
"91","Hill_1","NDSI_all","NDSI","all",-0.404761904761905,0.3568,0.620253164556962,-0.89873417721519
"92","Hill_1","ADI_all","ADI","all",-0.428571428571429,0.3292,0.62962962962963,-0.89873417721519
"93","Hill_1","AEI_all","AEI","all",0.428571428571429,0.3298,0.89873417721519,-0.726027397260274
"94","Hill_1","H_all","H","all",-0.428571428571429,0.3122,0.620253164556962,-0.917808219178082
"95","Hill_1","M_all","M","all",0.690476190476191,0.0788,1,-0.105263157894737
"96","Hill_1","PCAI_all","PCAI","all",0.428571428571429,0.3344,0.89873417721519,-0.62962962962963
"97","NMDS1","BIO_winter","BIO","winter",0.285714285714286,0.5604,0.822784810126582,-0.972602739726027
"98","NMDS1","ACI_winter","ACI","winter",0.523809523809524,0.2176,1,-0.384615384615385
"99","NMDS1","NDSI_winter","NDSI","winter",-0.666666666666667,0.0636000000000001,0.0886075949367088,-0.96875
"100","NMDS1","ADI_winter","ADI","winter",-0.785714285714286,0.0291999999999999,-0.135802469135802,-1
"101","NMDS1","AEI_winter","AEI","winter",0.785714285714286,0.0264,1,0.263157894736842
"102","NMDS1","H_winter","H","winter",-0.785714285714286,0.0216000000000001,-0.291139240506329,-1
"103","NMDS1","M_winter","M","winter",0.952380952380953,0.0012,1,0.615384615384616
"104","NMDS1","PCAI_winter","PCAI","winter",0.785714285714286,0.0356,1,0.135802469135802
"105","NMDS1","BIO_spring","BIO","spring",0.0476190476190476,0.909,0.842105263157895,-1
"106","NMDS1","ACI_spring","ACI","spring",-0.238095238095238,0.62,0.853658536585366,-0.777777777777778
"107","NMDS1","NDSI_spring","NDSI","spring",-0.761904761904762,0.042,-0.0886075949367088,-1
"108","NMDS1","ADI_spring","ADI","spring",-0.785714285714286,0.0256000000000001,-0.289473684210526,-1
"109","NMDS1","AEI_spring","AEI","spring",0.619047619047619,0.158,1,-0.259259259259259
"110","NMDS1","H_spring","H","spring",-0.619047619047619,0.1504,0.259259259259259,-1
"111","NMDS1","M_spring","M","spring",0.666666666666667,0.0832,1,-0.164556962025316
"112","NMDS1","PCAI_spring","PCAI","spring",0.666666666666667,0.083,1,-0.105263157894737
"113","NMDS1","BIO_summer","BIO","summer",0.0238095238095238,0.9612,0.875,-0.679012345679012
"114","NMDS1","ACI_summer","ACI","summer",-0.571428571428572,0.1412,0.232876712328767,-0.974683544303797
"115","NMDS1","NDSI_summer","NDSI","summer",-0.785714285714286,0.046,-0.0410958904109589,-1
"116","NMDS1","ADI_summer","ADI","summer",-0.166666666666667,0.71,0.726027397260274,-1
"117","NMDS1","AEI_summer","AEI","summer",0.119047619047619,0.772,0.972602739726027,-0.753424657534246
"118","NMDS1","H_summer","H","summer",-0.0238095238095238,0.9634,0.772151898734177,-0.923076923076923
"119","NMDS1","M_summer","M","summer",-0.0476190476190476,0.927,0.736842105263158,-0.917808219178082
"120","NMDS1","PCAI_summer","PCAI","summer",0.5,0.225,1,-0.308641975308642
"121","NMDS1","BIO_morning","BIO","morning",0.238095238095238,0.585,0.89873417721519,-0.736842105263158
"122","NMDS1","ACI_morning","ACI","morning",-0.404761904761905,0.372,0.538461538461539,-1
"123","NMDS1","NDSI_morning","NDSI","morning",-0.833333333333333,0.02,-0.307692307692308,-1
"124","NMDS1","ADI_morning","ADI","morning",-0.5,0.244,0.417721518987342,-1
"125","NMDS1","AEI_morning","AEI","morning",0.404761904761905,0.3612,1,-0.594936708860759
"126","NMDS1","H_morning","H","morning",-0.428571428571429,0.3532,0.575,-1
"127","NMDS1","M_morning","M","morning",0.857142857142857,0.0142,1,0.315068493150685
"128","NMDS1","PCAI_morning","PCAI","morning",0.523809523809524,0.215,1,-0.307692307692308
"129","NMDS1","BIO_evening","BIO","evening",0.166666666666667,0.7004,0.835616438356164,-0.848101265822785
"130","NMDS1","ACI_evening","ACI","evening",0.119047619047619,0.8004,0.925925925925926,-0.679012345679012
"131","NMDS1","NDSI_evening","NDSI","evening",-0.547619047619048,0.121,0.210526315789474,-0.972602739726027
"132","NMDS1","ADI_evening","ADI","evening",-0.571428571428572,0.112,0.164556962025316,-1
"133","NMDS1","AEI_evening","AEI","evening",0.642857142857143,0.0932,1,-0.139240506329114
"134","NMDS1","H_evening","H","evening",-0.571428571428572,0.1564,0.240506329113924,-1
"135","NMDS1","M_evening","M","evening",0.595238095238095,0.168,1,-0.263157894736842
"136","NMDS1","PCAI_evening","PCAI","evening",0.666666666666667,0.0892,1,-0.15
"137","NMDS1","BIO_all","BIO","all",0.452380952380952,0.2984,1,-0.536585365853659
"138","NMDS1","ACI_all","ACI","all",-0.261904761904762,0.5892,0.822784810126582,-0.777777777777778
"139","NMDS1","NDSI_all","NDSI","all",-0.761904761904762,0.03,-0.209876543209877,-1
"140","NMDS1","ADI_all","ADI","all",-0.666666666666667,0.0784,0.0769230769230769,-1
"141","NMDS1","AEI_all","AEI","all",0.666666666666667,0.0694,1,-0.0769230769230769
"142","NMDS1","H_all","H","all",-0.666666666666667,0.0731999999999999,0.0632911392405063,-1
"143","NMDS1","M_all","M","all",0.571428571428572,0.2072,0.972972972972973,-0.308641975308642
"144","NMDS1","PCAI_all","PCAI","all",0.666666666666667,0.0912,1,-0.150684931506849
